ID_LISTKU,ZDROJOVY_SOUBOR,TURNE,DATUM,INFO_TEXT,CONTRIBUTOR_TEXT,SOUBOR_SKEN,CENA,MENA,SEKTOR_RADA_SEDADLO,SUPPORTING_ACT,SETLIST,POCET_SKLADEB,SETLIST_URL,SOUBOR_SKEN_1,KATEGORIE
TICKET_0001,konzert-joe-jackson-2010.html,Tour 2010,1st October 2010,"1st October 2010 - Groningen, Netherlands - De Oosterpoort, Grote Zaal","Bert Bos, Netherlands",kk-joe-jackson-2010-10-01.jpg,35.00,EUR,není k dispozici,není k dispozici,"It's Different for Girls, Tomorrow's World, Citizen Sane, Stranger Than Fiction, Fools in Love, Still Alive, King Pleasure Time, Sunday Papers, Real Men, Girl, The Best I Can Do, A Place in the Rain, Scary Monsters (and Super Creeps), Take It Like a Man, Got the Time, Oh Well, Is She Really Going Out With Him?, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-oosterpoort-groningen-netherlands-63dd6a2f.html,kk-joe-jackson-2010-10-01.jpg,tickets
TICKET_0002,konzert-joe-jackson-2010.html,Tour 2010,1st October 2010,"1st October 2010 - Groningen, Netherlands - De Oosterpoort, Grote Zaal Computer Ticket","Steve Whitbread, U.K.",kk-joe-jackson-2010-10-01-computer.jpg,8.30,EUR,není k dispozici,JEFFREY GAINES,"It's Different for Girls, Tomorrow's World, Citizen Sane, Stranger Than Fiction, Fools in Love, Still Alive, King Pleasure Time, Sunday Papers, Real Men, Girl, The Best I Can Do, A Place in the Rain, Scary Monsters (and Super Creeps), Take It Like a Man, Got the Time, Oh Well, Is She Really Going Out With Him?, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-oosterpoort-groningen-netherlands-63dd6a2f.html,kk-joe-jackson-2010-10-01-computer.jpg,tickets
TICKET_0003,konzert-joe-jackson-2010.html,Tour 2010,3rd October 2010,"3rd October 2010 - Eindhoven, Netherlands - Airport Zaal","Johan Manders, Netherlands",kk-joe-jackson-2010-10-03.jpg,35,EUR,není k dispozici,není k dispozici,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, The Uptown Train, Chinatown, Another World, Obvious Song, Eleanor Rigby, Be My Number Two, Invisible Man, Dirty Martini, Oh Well, Good Bad Boy, Is She Really Going Out With Him?, Got the Time, Don't Get Around Much Anymore, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/grote-zaal-eindhoven-netherlands-7bdcaee0.html,kk-joe-jackson-2010-10-03.jpg,tickets
TICKET_0004,konzert-joe-jackson-2010.html,Tour 2010,3rd October 2010,"3rd October 2010 - Eindhoven, Netherlands - Airport Zaal","Johan Manders, Netherlands",kk-joe-jackson-2010-10-03-one-more-time.jpg,35,EUR,není k dispozici,není k dispozici,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, The Uptown Train, Chinatown, Another World, Obvious Song, Eleanor Rigby, Be My Number Two, Invisible Man, Dirty Martini, Oh Well, Good Bad Boy, Is She Really Going Out With Him?, Got the Time, Don't Get Around Much Anymore, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/grote-zaal-eindhoven-netherlands-7bdcaee0.html,kk-joe-jackson-2010-10-03-one-more-time.jpg,tickets
TICKET_0005,konzert-joe-jackson-2010.html,Tour 2010,3rd October 2010,"3rd October 2010 - Eindhoven, Netherlands - Airport Zaal Computer Ticket","Steve Whitbread, U.K.",kk-joe-jackson-2010-10-03-computer.jpg,35,EUR,není k dispozici,JEFFREY GAINES,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, The Uptown Train, Chinatown, Another World, Obvious Song, Eleanor Rigby, Be My Number Two, Invisible Man, Dirty Martini, Oh Well, Good Bad Boy, Is She Really Going Out With Him?, Got the Time, Don't Get Around Much Anymore, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/grote-zaal-eindhoven-netherlands-7bdcaee0.html,kk-joe-jackson-2010-10-03-computer.jpg,tickets
TICKET_0006,konzert-joe-jackson-2010.html,Tour 2010,4th October 2010,"4th October 2010 - Rotterdam, Netherlands - De Doelen","brievb, Netherlands",kk-joe-jackson-2010-10-04-original.jpg,0.00,EUR,16 / 9,JEFFREY GAINES,"It's Different for Girls, Tomorrow's World, Too Tough, Citizen Sane, Still Alive, Chinatown, The Uptown Train, Awkward Age, Sunday Papers, Life on Mars?, Real Men, Anyone Who Had a Heart, Stranger Than Fiction, King Pleasure Time, Is She Really Going Out With Him?, Got the Time, Another World, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-doelen-rotterdam-netherlands-63dd6a2b.html,kk-joe-jackson-2010-10-04-original.jpg,tickets
TICKET_0007,konzert-joe-jackson-2010.html,Tour 2010,4th October 2010,"4th October 2010 - Rotterdam, Netherlands - De Doelen","Steve Whitbread, U.K.",kk-joe-jackson-2010-10-04-computer.jpg,není k dispozici,není k dispozici,není k dispozici,JEFFREY GAINES,"It's Different for Girls, Tomorrow's World, Too Tough, Citizen Sane, Still Alive, Chinatown, The Uptown Train, Awkward Age, Sunday Papers, Life on Mars?, Real Men, Anyone Who Had a Heart, Stranger Than Fiction, King Pleasure Time, Is She Really Going Out With Him?, Got the Time, Another World, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-doelen-rotterdam-netherlands-63dd6a2b.html,kk-joe-jackson-2010-10-04-computer.jpg,tickets
TICKET_0008,konzert-joe-jackson-2010.html,Tour 2010,4th October 2010,"4th October 2010 - Rotterdam, Netherlands - De Doelen","Marielle de Bruijn, Netherlands",kk-joe-jackson-2010-10-04.jpg,20.15,není k dispozici,není k dispozici,JEFFREY GAINES,"It's Different for Girls, Tomorrow's World, Too Tough, Citizen Sane, Still Alive, Chinatown, The Uptown Train, Awkward Age, Sunday Papers, Life on Mars?, Real Men, Anyone Who Had a Heart, Stranger Than Fiction, King Pleasure Time, Is She Really Going Out With Him?, Got the Time, Another World, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-doelen-rotterdam-netherlands-63dd6a2b.html,kk-joe-jackson-2010-10-04.jpg,tickets
TICKET_0009,konzert-joe-jackson-2010.html,Tour 2010,6th October 2010,"6th October 2010 - Cleon, France - La Traverse","Gert Schaumlöffel, Germany",kk-joe-jackson-2010-10-06.jpg,35,EUR,není k dispozici,není k dispozici,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, The Uptown Train, Chinatown, Scary Monsters (and Super Creeps), Sunday Papers, Be My Number Two, The Best I Can Do, Rush Across the Road, Inbetweenies, Good Bad Boy, Is She Really Going Out With Him?, You Can't Get What You Want (Till You Know What You Want), One More Time, Another World, Steppin' Out, A Slow Song",19,https://www.setlist.fm/setlist/joe-jackson/2010/la-traverse-cleon-france-438efb9f.html,kk-joe-jackson-2010-10-06.jpg,tickets
TICKET_0010_a,konzert-joe-jackson-2010.html,Tour 2010,8th October 2010,"8th October 2010 - Paris, France - La Cigale - Gert Schaumlöffel, Germany","Olivier Popincourt, France",kk-joe-jackson-2010-10-08.jpg,45.50,EUR,není k dispozici,není k dispozici,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, Chinatown, Another World, King Pleasure Time, Sunday Papers, For No One, Be My Number Two, The Best I Can Do, Invisible Man, Take It Like a Man, Is She Really Going Out With Him?, Got the Time, Music to Watch Girls By, Steppin' Out, Home Town",18,https://www.setlist.fm/setlist/joe-jackson/2010/la-cigale-paris-france-5b8efb90.html,kk-joe-jackson-2010-10-08.jpg,tickets
